customer_id,log_id,timestamp,url,purchase_amount
328,0,2025-01-21T06:24:00,/home,48.98
72,1,2025-05-15T01:41:00,/home,0
457,2,2025-04-10T06:44:00,/home,0
17,3,2025-01-06T10:11:00,/home,0
259,4,2025-04-20T14:15:00,/home,0
367,5,2025-04-29T07:23:00,/checkout,0
230,6,2025-04-18T06:32:00,/product/2,1.3
413,7,2025-01-30T01:33:00,/cart,0
80,8,2025-02-09T04:43:00,/product/2,0
195,9,2025-01-18T14:33:00,/product/2,120.75
414,10,2025-01-08T21:50:00,/cart,0
499,11,2025-03-10T21:50:00,/home,0
425,12,2025-04-25T10:34:00,/checkout,72.33
99,13,2025-05-09T06:19:00,/home,0
117,14,2025-02-22T16:21:00,/home,173.3
195,15,2025-02-20T14:29:00,/cart,0
187,16,2025-01-30T14:38:00,/product/2,0
344,17,2025-02-18T14:26:00,/home,0
88,18,2025-04-08T05:41:00,/product/1,0
195,19,2025-02-19T03:25:00,/checkout,0
167,20,2025-01-11T04:23:00,/product/1,161.01
206,21,2025-02-18T17:46:00,/home,0
483,22,2025-04-14T06:02:00,/product/2,0
256,23,2025-03-14T00:32:00,/cart,0
72,24,2025-02-14T21:31:00,/checkout,0
383,25,2025-04-17T10:05:00,/cart,79.88
113,26,2025-01-26T04:22:00,/checkout,0
387,27,2025-01-09T13:51:00,/home,0
82,28,2025-05-04T21:04:00,/cart,0
198,29,2025-03-11T11:19:00,/checkout,105.82
498,30,2025-04-11T17:04:00,/home,0
59,31,2025-05-05T02:26:00,/checkout,153.72
175,32,2025-01-21T07:22:00,/product/2,0
233,33,2025-01-01T14:10:00,/product/2,152.39
260,34,2025-01-20T08:54:00,/product/2,101.53
102,35,2025-01-28T19:45:00,/product/2,107.88
399,36,2025-04-07T13:09:00,/home,0
251,37,2025-01-04T13:05:00,/home,175.74
426,38,2025-02-25T23:32:00,/product/1,0
450,39,2025-04-14T06:49:00,/home,0
249,40,2025-01-13T14:23:00,/checkout,25.68
244,41,2025-04-11T02:07:00,/product/1,0
447,42,2025-04-21T10:14:00,/cart,185.78
387,43,2025-05-13T21:07:00,/product/1,79.8
344,44,2025-04-29T07:21:00,/product/2,0
265,45,2025-03-24T04:34:00,/home,0
33,46,2025-03-03T13:07:00,/home,0
118,47,2025-04-18T02:56:00,/product/1,0
363,48,2025-04-25T21:19:00,/home,0
464,49,2025-01-06T17:14:00,/product/2,0
122,50,2025-02-20T16:41:00,/cart,0
68,51,2025-05-12T16:22:00,/checkout,0
125,52,2025-03-28T02:27:00,/cart,0
50,53,2025-04-30T23:08:00,/cart,0
211,54,2025-03-27T00:27:00,/home,0
331,55,2025-01-18T21:59:00,/home,0
174,56,2025-01-20T21:24:00,/product/1,0
275,57,2025-03-23T16:01:00,/product/1,0
143,58,2025-03-26T05:15:00,/product/1,15.08
414,59,2025-04-11T04:24:00,/home,0
277,60,2025-01-03T16:28:00,/home,169.74
86,61,2025-03-15T23:39:00,/cart,0
443,62,2025-03-15T00:10:00,/home,0
2,63,2025-03-13T01:46:00,/product/2,157.03
147,64,2025-03-19T00:08:00,/checkout,0
250,65,2025-01-29T04:19:00,/product/1,0
496,66,2025-01-11T15:31:00,/checkout,12.19
161,67,2025-01-11T09:45:00,/home,0
258,68,2025-04-07T16:31:00,/product/1,0
261,69,2025-01-15T14:00:00,/product/1,0
35,70,2025-05-03T22:02:00,/product/1,0
483,71,2025-04-14T16:56:00,/product/1,0
21,72,2025-04-23T18:07:00,/home,0
299,73,2025-04-13T21:30:00,/checkout,0
134,74,2025-02-07T04:25:00,/product/2,0
203,75,2025-01-24T19:48:00,/product/2,0
476,76,2025-05-17T20:56:00,/home,0
319,77,2025-04-13T11:45:00,/home,0
110,78,2025-04-03T02:14:00,/product/2,0
179,79,2025-01-13T12:33:00,/product/1,0
81,80,2025-03-21T18:27:00,/checkout,122.34
414,81,2025-04-30T01:15:00,/checkout,0
419,82,2025-04-11T23:05:00,/product/2,20.72
450,83,2025-01-25T10:43:00,/product/2,0
55,84,2025-05-16T03:40:00,/checkout,0
145,85,2025-04-21T02:32:00,/product/1,40.72
325,86,2025-02-18T01:21:00,/checkout,0
464,87,2025-01-10T05:56:00,/home,0
425,88,2025-02-20T08:50:00,/home,0
395,89,2025-01-24T19:33:00,/product/2,0
227,90,2025-04-11T10:19:00,/cart,0
58,91,2025-01-14T16:44:00,/product/1,0
428,92,2025-03-09T05:07:00,/checkout,0
221,93,2025-01-24T04:49:00,/home,0
461,94,2025-01-08T06:18:00,/product/2,0
128,95,2025-05-02T09:52:00,/home,0
287,96,2025-03-15T23:29:00,/checkout,185.15
122,97,2025-01-30T13:58:00,/product/1,4.96
378,98,2025-03-02T11:20:00,/cart,172.81
416,99,2025-02-15T04:15:00,/product/2,0
360,100,2025-01-20T16:16:00,/cart,171.72
114,101,2025-02-06T07:56:00,/cart,0
421,102,2025-02-11T10:22:00,/product/1,0
99,103,2025-03-14T12:55:00,/product/2,0
36,104,2025-02-20T19:30:00,/product/2,0
205,105,2025-05-04T16:51:00,/checkout,0
15,106,2025-01-21T23:56:00,/product/2,0
493,107,2025-02-18T07:50:00,/home,0
223,108,2025-03-04T22:19:00,/product/2,0
262,109,2025-01-22T01:15:00,/cart,38.02
23,110,2025-05-10T00:43:00,/cart,0
